UID,URL,creator,name,description,count
rpro11,https://www.rijksmuseum.nl/en/rijksstudio/artists/johannes-cornelisz-verspronck,Rijks Museum,Johannes Cornelisz. Verspronck,"Johannes Cornelisz Verspronck (1600/03-1662) of Haarlem was probably apprenticed to his father, portraitist Cornelis Engelsz (Versprongh), and possibly also to Frans Hals, of the same city. Hals’s influence on his manner of painting is certainly evident in Verspronck’s work. In 1632, he joined Haarlem’s St Luke’s guild. Verspronck developed a sober, restrained style of portraiture. He lived for many years with his parents and remained a rather isolated figure in Haarlem’s art circles.

Apart from a single still life and various genre paintings, most of Verspronck’s works are portraits. He was particularly productive in the years 1640 to 1643, when he made two group portraits and over twenty individual portraits. In all, he painted around a hundred portraits.",6
rpro12,https://www.rijksmuseum.nl/en/rijksstudio/subjects/krishna,Rijks Museum,Krishna,"Krishna is an incarnation of the Hindu god Vishnu. Vishnu maintains a balance between good and evil. Whenever this balance is about to be disrupted he descends to earth choosing the incarnation best suited to restoring balance to the situation. Krishna is the eighth incarnation of Vishnu, but is also worshipped in his own right. Krishna is sometimes shown with Vishnu’s attributes: the wheel or the conch. As Krishna or Rama (another one of his incarnations), Vishnu’s skin is blue.",4
rpro13,https://www.rijksmuseum.nl/en/rijksstudio/works-of-art/glass,Rijks Museum,Glass,"The Rijksmuseum owns close to 2000 glass objects ranging from delicate Venetian glass to Waldglas (‘forest glass’: robust green beakers with prunts; roemers and berkemeiers, types of drinking glasses) and 18th-century engraved glass to modern pieces crafted by the 19th-century French glass blower Emile Gallé and the 20th-century Dutch artist Andries Copier.

The core of the collection comprises Dutch glass, either produced and/or engraved in the Netherlands. Inscriptions and images were engraved on glass in a variety of techniques particularly in the 17th and 18th century. Among the exceptional objects are a roemer with a poem to Constantijn Huygens engraved by Anna Roemer Visscher, a dish with a calligraphed text by the glass engraver and poet Willem van Heemskerk, and an elegant wine glass with a scene engraved by Willem Fortuyn.

The museum also boasts a 16th-century ‘dice glass’ (with a die still enclosed in the base). In addition there are international masterpieces, such as various fantastically shaped and coloured Venetian glasses and bottles.",15
rpro14,https://www.rijksmuseum.nl/en/rijksstudio/works-of-art/asian-art,Rijks Museum,Asian art,"The Rijksmuseum’s collection of Asian art encompasses close to 8000 objects. This amount is actually modest given that Asia is the largest continent on earth, with more than 50 different countries, from Afghanistan to South Korea. The four key regions represented in the collection are: China, Japan, India, and Indonesia combined. The museum collects the best possible examples of Asian art from all of these regions and from all periods.

Many of these objects were made for local patrons and thus give an idea of the kinds of (art) objects that were considered important in Asia itself. They range from paintings, prints, sculptures and temple ornaments to lacquer boxes, jewellery, funerary urns, tea bowls and miniatures.

Other objects were made for export to Europe and thus reflect a more Western taste.
The Rijksmuseum is the only museum in the Netherlands that collects Asian art- ethnology museums tend to concentrate more on culture. A significant part of the Asian art collection is a long-term loan from the Vereniging van Vrienden der Aziatische Kunst.",46
rpro15,https://www.rijksmuseum.nl/en/rijksstudio/historical-figures/johannes-wtenbogaert,Rijks Museum,Johannes Wtenbogaert,"Johannes Wtenbogaert (1557-1644), or Uytenbogaert, played a prominent role in the religious and political life of the young Dutch Republic. He served as adviser to Grand Pensionary Johan van Oldenbarnevelt. At the end of the 16th century he was appointed court chaplain of Stadholder-Prince Maurice. However, the stadholder and the preacher came to oppose each other during the Twelve Years’ Truce with Spain (1609-1621).

A founder of a critical liberal movement (the Remonstrant Brotherhood) within the Protestant Church, Wtenbogaert came into conflict with Maurice and more orthodox Protestants. He fell into disfavour, was banned, and fled to Antwerp in 1618. After the death of Prince Maurice, in 1626 Wtenbogaert returned to the Netherlands and preached in Remonstrant churches. He died in The Hague at the age of 87.",6
rpro16,https://www.rijksmuseum.nl/en/rijksstudio/artists/jan-van-goyen,Rijks Museum,Jan van Goyen,"Jan van Goyen (1596-1656) learned to paint in Leiden. He had several teachers, including Willem Gerritsz and Isaac van Swanenburg and glass painters Cornelis and Hendrick Clock. Later, he became a pupil of landscape painter Esaias van de Velde of Haalem. At first, Van Goyen employed Van de Velde's vibrant style. Then, around 1627, he began to move towards a more monochrome palette (from the Greek monochromos, ‘one colour’). His landscapes generally contain just one or two colours: like Salomon van Ruysdael, he worked mainly in greens and greys. Van Goyen was one of the most prolific artists of the 17th century and his tremendous output inevitably led to repetition. Some 1,200 paintings and 800 drawings are known by Van Goyen. Many of the latter were made on his travels around the Netherlands, France and Germany. He lived in Leiden from 1618 to 1632, spending his last years in The Hague.",6
rpro17,https://www.rijksmuseum.nl/en/rijksstudio/works-of-art/masterpieces,Rijks Museum,Masterpieces,"The Rijksmuseum collection is specialized in Dutch paintings, prints, drawings, history, sculpture and applied arts spanning the Middle Ages to the 20th century. It also has a large and important selection of Asian pieces and other foreign artworks including furniture, drawings and paintings.

More than 8,000 objects in eighty galleries offer visitors an overview of late medieval times to the present day. Paintings, sculptures, applied art and objects from the past all come together to tell the story of more than six centuries of art and history.",89
rpro18,https://www.rijksmuseum.nl/en/rijksstudio/works-of-art/masterpieces-on-paper,Rijks Museum,Masterpieces on paper,"Works on paper
The Rijksmuseum’s substantial holdings of works on paper have been divided into various categories. The collection encompasses over 700,000 prints reflecting a variety of graphic techniques; close to 50,000 drawings; 150,000 photographs; and a library with more than 450,000 books, periodicals, and sales catalogues.

As different in nature as they may be, all of these works on paper share one important characteristic, namely they are fragile and extremely sensitive to light. For this reason, they are generally kept in storage in rigorously regulated conditions, with the proper humidity and temperature, and kept in acid-free cardboard boxes. While the museum nevertheless regularly exhibits works on paper, the duration of the shows is short. Accordingly, we urge you to take advantage of the opportunity when drawings, prints or photographs are displayed, because they usually disappear back into their dark drawers in just a few weeks’ time.",69
rpro19,https://www.rijksmuseum.nl/en/rijksstudio/subjects/classical-goddesses,Rijks Museum,Classical goddesses,"In classical antiquity the Greeks believed that twelve gods, six of them female – Demeter, Artemis, Pallas Athena, Aphrodite, Hestia, and Juno, the wife of the supreme god Zeus – lived on Mount Olympus. The Roman poet Ovid (43 BC–AD 17-18) recorded their fates and those of the other Greek gods in his epic poem the Metamorphoses. Except for their miraculous deeds the gods were just like ordinary people: they felt love, anger and jealousy, and fought and committed adultery among themselves and with mortals. Mythological subjects were popular in ancient architecture, and later predominantly in Renaissance and Baroque art. The Olympian goddesses – with their Roman names of Ceres, Diana, Minerva, Venus, Vesta and Juno – are frequently depicted, yet other deities, including Latona (Leto), the goddess of fertility Cybele (Rhea) and the Three Fates also figure regularly in art.",8
rpro20,https://www.rijksmuseum.nl/en/rijksstudio/subjects/biblical-messengers,Rijks Museum,Biblical messengers,"People who communicate the messages of God feature in both the Old and the New Testament of the Bible. In the Old Testament, prophets mediate between people and God, speaking in his name and making prophecies. Of the prophets, only Jeremiah and Elijah are regularly depicted in art.

In the New Testament the life and suffering of Christ is described by the four evangelists: Matthew, Mark, Luke and John. The accounts in these ‘Gospels’ have been illustrated extensively in art since the Middle Ages. The evangelists themselves are less frequently portrayed, and basically just as ‘writers’ in Gospel Books. Only John the Evangelist, author of the last book of the Bible about the Apocalypse, appears in independent depictions. 
Finally, there are the apostles (literally: ‘people who give a message on someone’s behalf’), who were initially Christ’s disciples. After his ascension, Christ sent them out to spread his teachings throughout the world.",6
rpro21,https://www.rijksmuseum.nl/en/rijksstudio/artists/willem-van-de-velde-ii,Rijks Museum,Willem van de Velde II,"Willem van de Velde (1633-1707) was born in Leiden. His father - also called Willem van de Velde (hence I and II) – started life as a sailor and later became an artist for the Dutch navy. At fifteen, Van de Velde II was apprenticed to Simon de Vlieger, who specialised in atmospheric seascapes. Van de Velde II’s early marines are generally tranquil, showing groups of fishing boats off the coast. After he and his father moved to England in 1672, Van de Velde II broadened his range. While he continued to paint marines, he made numerous portraits of individual vessels, such as royal yachts and battle ships. Van de Velde II was commissioned by the British king to paint various naval battles.",6
rpro22,https://www.rijksmuseum.nl/en/rijksstudio/subjects/paul,Rijks Museum,Paul,"Paul was not one of the original twelve apostles, but only converted to Christianity after Christ’s death. Before then he was called Saul and was a fanatic persecutor of Christians. When he was about 24 years old he was struck by lightning while on his way to Damascus in Syria. He converted to Christianity and took on the name of Paul. He became an indefatigable champion of his faith. Paul travelled extensively throughout the countries around the Mediterranean Sea, founding various Christian communities, with which he maintained contact. His letters are an important part of the New Testament. In art he is often depicted as an old man with a book (symbolizing his many writings) and a sword. Like Peter, Paul is considered one of the founders of the Church. 
kerk.",4
rpro23,https://www.rijksmuseum.nl/en/rijksstudio/artists/gerard-van-honthorst,Rijks Museum,Gerard van Honthorst,"Born in Utrecht, Gerard van Honthorst (1592-1656) came from an artistic family. Gerard, also known as Gerrit, was its most successful member. Following a stay in Italy in the 1610s, he returned to Utrecht in 1620. He was a prominent representative of a group of painters that have become known as the Utrecht Caravaggists, Dutch followers of the Italian artist Caravaggio. The latter was especially known for his nocturnal scenes of candlelit figures. In the 1630s, Van Honthorst acquired a name in court circles as a portrait painter, which led him to move to The Hague in 1637. In 1649, Van Honthorst was commissioned to paint part of the decoration of the Orange hall at the stadholder's palace of Huis ten Bosch. In 1652, he returned to Utrecht, where he died four years later.",4
rpro24,https://www.rijksmuseum.nl/en/rijksstudio/artists/jozef-israels,Rijks Museum,Jozef Israëls,"Jozef Israëls (1824-1911) was born into a Dutch Jewish family. At the age of eleven he started painting and drawing lessons at Groningen’s Akademie Minerva. In 1842, he went to Amsterdam to study under painters Jan Adam Kruseman and Jan Willem Pieneman. He later visited Paris, where he perfected his academic style of painting. He subsequently visited Germany, studying the German Romantic artists.

Despite his training, Israëls did not devote his career to painting historical scenes. While recuperating from an illness at the Dutch fishing village of Zandvoort, he was appalled by the tragic lot of the fishermen and their families. His sober, restrained paintings depicting life in the fishing village earned him international fame. Critics compared his impasto brushwork, his warm colours and his use of chiaroscuro with the work of Rembrandt. Israëls taught numerous pupils, among them his son Isaac.",6
rpro25,https://www.rijksmuseum.nl/en/rijksstudio/artists/roelant-savery,Rijks Museum,Roelant Savery,"Roelant Savery (c. 1578-1639) was a Flemish printmaker, painter and draughtsman. He was born in Courtrai (Kortrijk). The Savery family arrived in Haarlem around 1585 as religious refugees. There Roelant was apprenticed to his elder brother Jacob Savery, with whom he moved to Amsterdam in 1591. Following Jacob’s death, Roelant went to Prague where he took a position as painter at the imperial court of Rudolf II. In 1613, Savery continued as court painter under Rudolf’s successor, Matthias. Yet in that same year, he returned to Amsterdam. He remained in the Netherlands for the rest of his life, working for a range of prominent patrons.",6
